transaction_amount,catalog_median_price,price_deviation,purchase_velocity,category_match,merchant_match,user_requested_amount,actual_amount,agent_behavior_score,is_anomaly
42000,45000,-0.0667,1,1,1,50000,42000,0.05,0
38000,40000,-0.05,1,1,1,50000,38000,0.08,0
45000,46000,-0.0217,2,1,1,50000,45000,0.10,0
29000,30000,-0.0333,1,1,1,35000,29000,0.06,0
48000,50000,-0.04,2,1,1,50000,48000,0.12,0
35000,36000,-0.0278,1,1,1,40000,35000,0.07,0
44000,45000,-0.0222,2,1,1,50000,44000,0.09,0
40000,42000,-0.0476,1,1,1,45000,40000,0.05,0
47000,48000,-0.0208,2,1,1,50000,47000,0.11,0
32000,35000,-0.0857,1,1,1,40000,32000,0.04,0

78000,45000,0.7333,1,1,1,50000,78000,0.90,1
75000,45000,0.6667,1,1,1,50000,75000,0.88,1
42000,40000,0.05,8,1,1,50000,42000,0.82,1
18000,18000,0,1,0,1,50000,18000,0.85,1
42000,43000,-0.0233,1,0,1,50000,42000,0.87,1
42000,43000,-0.0233,1,1,0,50000,42000,0.91,1
90000,45000,1.0,10,0,0,50000,90000,0.99,1
68000,45000,0.5111,6,1,1,50000,68000,0.94,1
55000,50000,0.10,5,1,0,50000,55000,0.89,1
62000,48000,0.2917,7,1,1,50000,62000,0.93,1
